Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
831.777161,93140.99803921569,-22.55184611033313,0.1985128676470599
831.777161,95188.05294117646,-20.158793951855618,0.1985128676470599
831.777161,97235.10784313724,-29.0134155962372,0.1985128676470599
831.777161,99282.162745098,-22.05783501651501,0.1985128676470599
831.777161,101329.21764705885,-15.09334644744976,0.1985128676470599
831.777161,103376.2725490196,-15.544285773934297,0.1985128676470599
831.777161,105423.32745098036,-12.511446480927118,0.1985128676470599
831.777161,107470.38235294116,-14.046257862093988,0.1985128676470599
831.777161,109517.43725490198,-21.67638911133558,0.1985128676470599
831.777161,111564.49215686276,-14.863500216198794,0.1985128676470599
831.777161,113611.54705882352,-17.44948190018626,0.1985128676470599
831.777161,115658.60196078428,-25.947835864604837,0.1985128676470599
831.777161,117705.65686274506,-19.035136615417564,0.1985128676470599
831.777161,119752.71176470588,-19.32246017166098,0.1985128676470599
831.777161,121799.76666666666,-23.62999715104479,0.1985128676470599
831.777161,123846.82156862743,-15.05366626859606,0.1985128676470599
831.777161,125893.8764705882,-13.570494059303371,0.1985128676470599
831.777161,127940.93137254904,-5.612311689128972,0.1985128676470599
831.777161,129987.9862745098,-22.959724751417664,0.1985128676470599
831.777161,132035.04117647058,-19.57113645519855,0.1985128676470599
831.777161,134082.09607843135,-17.94975178807309,0.1985128676470599
831.777161,136129.15098039212,-24.701030475731137,0.1985128676470599
831.777161,138176.20588235295,-24.96710803042688,0.1985128676470599
831.777161,140223.26078431372,-23.97039380555973,0.1985128676470599
831.777161,142270.3156862745,-36.38045087164384,0.1985128676470599
831.777161,144317.37058823527,-22.86897834000222,0.1985128676470599
831.777161,146364.4254901961,-24.337451486499617,0.1985128676470599
831.777161,148411.48039215687,-21.411968527235704,0.1985128676470599
831.777161,150458.53529411764,-28.483228913029485,0.1985128676470599
831.777161,152505.5901960784,-26.758379355694323,0.1985128676470599
831.777161,154552.64509803918,-22.082216063427055,0.1985128676470599
831.777161,156599.7,-18.45849185804238,0.1985128676470599
831.777161,158646.75490196078,-22.799720387743875,0.1985128676470599
831.777161,160693.80980392155,-23.017436558578627,0.1985128676470599
831.777161,162740.86470588233,-18.550937124461235,0.1985128676470599
831.777161,164787.91960784316,-30.054627915165405,0.1985128676470599
831.777161,166834.97450980393,-28.231352530959732,0.1985128676470599
831.777161,168882.0294117647,-18.366797183341063,0.1985128676470599
831.777161,170929.08431372547,-19.53434566241041,0.1985128676470599
831.777161,172976.13921568624,-13.619965372620788,0.1985128676470599
831.777161,175023.19411764707,-14.553531212998267,0.1985128676470599
831.777161,177070.24901960784,-13.003658637554842,0.1985128676470599
831.777161,179117.3039215686,-22.659873636484257,0.1985128676470599
831.777161,181164.3588235294,-8.75003338629111,0.1985128676470599
831.777161,183211.41372549016,-4.880984101069008,0.1985128676470599
831.777161,185258.468627451,-17.2511693074566,0.1985128676470599
831.777161,187305.52352941176,-13.768857414921856,0.1985128676470599
831.777161,189352.57843137253,-14.342269959812011,0.1985128676470599
831.777161,191399.6333333333,-18.466568533118817,0.1985128676470599
831.777161,193446.68823529413,-19.77110146853525,0.1985128676470599
831.777161,195493.7431372549,-22.582792121898553,0.1985128676470599
831.777161,197540.79803921568,-31.101218169371705,0.1985128676470599
831.777161,199587.85294117645,-24.67553790966578,0.1985128676470599
831.777161,201634.9078431372,-18.926941996631612,0.1985128676470599
831.777161,203681.96274509805,-22.07504277335112,0.1985128676470599
831.777161,205729.0176470588,-25.80628392992153,0.1985128676470599
831.777161,207776.0725490196,-30.118280044394623,0.1985128676470599
831.777161,209823.12745098036,-25.576046786202525,0.1985128676470599
831.777161,211870.1823529412,-29.25351450205778,0.1985128676470599
831.777161,213917.23725490196,-29.158321252274888,0.1985128676470599
831.843499,93140.99803921569,-30.758125289901837,0.1985128676470599
831.843499,95188.05294117646,-24.180819005796952,0.1985128676470599
831.843499,97235.10784313724,-24.06262771195113,0.1985128676470599
831.843499,99282.162745098,-32.08689466979787,0.1985128676470599
831.843499,101329.21764705885,-22.688941077789657,0.1985128676470599
831.843499,103376.2725490196,-19.727225262242435,0.1985128676470599
831.843499,105423.32745098036,-17.84191370368906,0.1985128676470599
831.843499,107470.38235294116,-20.852465022968214,0.1985128676470599
831.843499,109517.43725490198,-19.26995909369515,0.1985128676470599
831.843499,111564.49215686276,-13.188147862291082,0.1985128676470599
831.843499,113611.54705882352,-21.258393985397905,0.1985128676470599
831.843499,115658.60196078428,-33.21395592876883,0.1985128676470599
831.843499,117705.65686274506,-19.602771359128283,0.1985128676470599
831.843499,119752.71176470588,-17.12980986657781,0.1985128676470599
831.843499,121799.76666666666,-28.502692115269728,0.1985128676470599
831.843499,123846.82156862743,-18.083518567952847,0.1985128676470599
831.843499,125893.8764705882,-13.994716789958332,0.1985128676470599
831.843499,127940.93137254904,-6.891857031434291,0.1985128676470599
831.843499,129987.9862745098,-26.868099258440033,0.1985128676470599
831.843499,132035.04117647058,-12.757989096768398,0.1985128676470599
831.843499,134082.09607843135,-27.59735733407204,0.1985128676470599
831.843499,136129.15098039212,-23.99461160931712,0.1985128676470599
831.843499,138176.20588235295,-31.997462151395656,0.1985128676470599
831.843499,140223.26078431372,-21.808619984357005,0.1985128676470599
831.843499,142270.3156862745,-30.6076491009628,0.1985128676470599
831.843499,144317.37058823527,-19.750429536893396,0.1985128676470599
831.843499,146364.4254901961,-21.20242311663772,0.1985128676470599
831.843499,148411.48039215687,-24.684423636848173,0.1985128676470599
831.843499,150458.53529411764,-20.14748803000352,0.1985128676470599
831.843499,152505.5901960784,-25.91633732510349,0.1985128676470599
831.843499,154552.64509803918,-30.012312602622902,0.1985128676470599
831.843499,156599.7,-18.57367296686852,0.1985128676470599
831.843499,158646.75490196078,-34.53344107830956,0.1985128676470599
831.843499,160693.80980392155,-30.11850545340275,0.1985128676470599
831.843499,162740.86470588233,-20.77189490750193,0.1985128676470599
831.843499,164787.91960784316,-27.75180262395425,0.1985128676470599
831.843499,166834.97450980393,-25.386724753808977,0.1985128676470599
831.843499,168882.0294117647,-36.63021496386923,0.1985128676470599
831.843499,170929.08431372547,-19.103213409240272,0.1985128676470599
