Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
36.477604,93140.99803921569,-22.452057477906216,0.7512176911764683
36.477604,95188.05294117646,-20.368964862718546,0.7512176911764683
36.477604,97235.10784313724,-14.513394051709954,0.7512176911764683
36.477604,99282.162745098,-27.19674015260176,0.7512176911764683
36.477604,101329.21764705885,-31.231042099891265,0.7512176911764683
36.477604,103376.2725490196,-20.489790434328853,0.7512176911764683
36.477604,105423.32745098036,-25.12261061019737,0.7512176911764683
36.477604,107470.38235294116,-25.92141528216098,0.7512176911764683
36.477604,109517.43725490198,-19.7013656664107,0.7512176911764683
36.477604,111564.49215686276,-19.564606296814695,0.7512176911764683
36.477604,113611.54705882352,-19.770850466391213,0.7512176911764683
36.477604,115658.60196078428,-26.97469836772168,0.7512176911764683
36.477604,117705.65686274506,-19.727632093203237,0.7512176911764683
36.477604,119752.71176470588,-24.905698304980763,0.7512176911764683
36.477604,121799.76666666666,-25.41251227219877,0.7512176911764683
36.477604,123846.82156862743,-38.79801915025445,0.7512176911764683
36.477604,125893.8764705882,-17.62164223888238,0.7512176911764683
36.477604,127940.93137254904,-17.454377775469663,0.7512176911764683
36.477604,129987.9862745098,-15.313259153316288,0.7512176911764683
36.477604,132035.04117647058,-34.28840705801255,0.7512176911764683
36.477604,134082.09607843135,-15.104080979452082,0.7512176911764683
36.477604,136129.15098039212,-3.565015158906472,0.7512176911764683
36.477604,138176.20588235295,-4.027485187853029,0.7512176911764683
36.477604,140223.26078431372,-16.635127494686078,0.7512176911764683
36.477604,142270.3156862745,-21.85932989529112,0.7512176911764683
36.477604,144317.37058823527,-14.11410284201093,0.7512176911764683
36.477604,146364.4254901961,-25.507994792942657,0.7512176911764683
36.477604,148411.48039215687,-34.25661931635945,0.7512176911764683
36.477604,150458.53529411764,-30.1192596844092,0.7512176911764683
36.477604,152505.5901960784,-22.404803682054236,0.7512176911764683
36.477604,154552.64509803918,-24.656940367250577,0.7512176911764683
36.477604,156599.7,-41.83455148913468,0.7512176911764683
36.477604,158646.75490196078,-30.291179555031512,0.7512176911764683
36.477604,160693.80980392155,-34.14468243710978,0.7512176911764683
36.477604,162740.86470588233,-25.366093776358586,0.7512176911764683
36.477604,164787.91960784316,-35.951446286995726,0.7512176911764683
36.477604,166834.97450980393,-32.81872595124276,0.7512176911764683
36.477604,168882.0294117647,-30.79366071428051,0.7512176911764683
36.477604,170929.08431372547,-35.00614281423481,0.7512176911764683
36.477604,172976.13921568624,-27.697355658325424,0.7512176911764683
36.477604,175023.19411764707,-28.668113035205756,0.7512176911764683
36.477604,177070.24901960784,-27.456557413572003,0.7512176911764683
36.477604,179117.3039215686,-29.876002864815984,0.7512176911764683
36.477604,181164.3588235294,-27.56665157496727,0.7512176911764683
36.477604,183211.41372549016,-18.91894344598804,0.7512176911764683
36.477604,185258.468627451,-27.82614271232353,0.7512176911764683
36.477604,187305.52352941176,-28.755346032343223,0.7512176911764683
36.477604,189352.57843137253,-28.860612808223056,0.7512176911764683
36.477604,191399.6333333333,-37.29380768702489,0.7512176911764683
36.477604,193446.68823529413,-28.35134978219315,0.7512176911764683
36.477604,195493.7431372549,-32.045868243661154,0.7512176911764683
36.477604,197540.79803921568,-39.90025015998831,0.7512176911764683
36.477604,199587.85294117645,-33.29933380691219,0.7512176911764683
36.477604,201634.9078431372,-36.64004661435073,0.7512176911764683
36.477604,203681.96274509805,-32.945730284759705,0.7512176911764683
36.477604,205729.0176470588,-24.940356002113333,0.7512176911764683
36.477604,207776.0725490196,-18.49634741488601,0.7512176911764683
36.477604,209823.12745098036,-23.463269219409536,0.7512176911764683
36.477604,211870.1823529412,-24.523723299765734,0.7512176911764683
36.477604,213917.23725490196,-28.05177823136976,0.7512176911764683
36.544378,93140.99803921569,-24.069418600334803,0.7512176911764683
36.544378,95188.05294117646,-20.770803884206337,0.7512176911764683
36.544378,97235.10784313724,-14.77397573198191,0.7512176911764683
36.544378,99282.162745098,-26.56219154064417,0.7512176911764683
36.544378,101329.21764705885,-29.115608242571312,0.7512176911764683
36.544378,103376.2725490196,-20.471405663620004,0.7512176911764683
36.544378,105423.32745098036,-25.696820248237685,0.7512176911764683
36.544378,107470.38235294116,-24.280871130728073,0.7512176911764683
36.544378,109517.43725490198,-21.583455363145923,0.7512176911764683
36.544378,111564.49215686276,-19.689142986502155,0.7512176911764683
36.544378,113611.54705882352,-19.95819839453499,0.7512176911764683
36.544378,115658.60196078428,-31.374125766058512,0.7512176911764683
36.544378,117705.65686274506,-19.64365218340129,0.7512176911764683
36.544378,119752.71176470588,-22.78680077855496,0.7512176911764683
36.544378,121799.76666666666,-27.886385441244816,0.7512176911764683
36.544378,123846.82156862743,-33.47150702237235,0.7512176911764683
36.544378,125893.8764705882,-17.352200785823623,0.7512176911764683
36.544378,127940.93137254904,-16.97127141530715,0.7512176911764683
36.544378,129987.9862745098,-14.740736510936172,0.7512176911764683
36.544378,132035.04117647058,-32.91082991690892,0.7512176911764683
36.544378,134082.09607843135,-15.31566481495107,0.7512176911764683
36.544378,136129.15098039212,-3.738198113786502,0.7512176911764683
36.544378,138176.20588235295,-4.6431525015521355,0.7512176911764683
36.544378,140223.26078431372,-16.08672180802261,0.7512176911764683
36.544378,142270.3156862745,-25.059543129884897,0.7512176911764683
36.544378,144317.37058823527,-14.244825646430714,0.7512176911764683
36.544378,146364.4254901961,-25.180128816560376,0.7512176911764683
36.544378,148411.48039215687,-30.4213445191324,0.7512176911764683
36.544378,150458.53529411764,-31.876943558108835,0.7512176911764683
36.544378,152505.5901960784,-21.28445312266551,0.7512176911764683
36.544378,154552.64509803918,-24.491180841523192,0.7512176911764683
36.544378,156599.7,-39.80547196603398,0.7512176911764683
36.544378,158646.75490196078,-32.51367113897403,0.7512176911764683
36.544378,160693.80980392155,-35.47106634286686,0.7512176911764683
36.544378,162740.86470588233,-26.17893973302612,0.7512176911764683
36.544378,164787.91960784316,-32.29100604171897,0.7512176911764683
36.544378,166834.97450980393,-30.964721489279302,0.7512176911764683
36.544378,168882.0294117647,-32.280284674856645,0.7512176911764683
36.544378,170929.08431372547,-37.91129537074396,0.7512176911764683
36.544378,172976.13921568624,-27.431320895711295,0.7512176911764683
36.544378,175023.19411764707,-28.86136501095504,0.7512176911764683
36.544378,177070.24901960784,-29.64399200068245,0.7512176911764683
36.544378,179117.3039215686,-27.34878028000771,0.7512176911764683
36.544378,181164.3588235294,-28.42796432597578,0.7512176911764683
36.544378,183211.41372549016,-19.172170617909455,0.7512176911764683
36.544378,185258.468627451,-29.180372877987175,0.7512176911764683
36.544378,187305.52352941176,-32.05006122627963,0.7512176911764683
36.544378,189352.57843137253,-29.41579839742719,0.7512176911764683
36.544378,191399.6333333333,-43.43584039001631,0.7512176911764683
36.544378,193446.68823529413,-31.524393429272713,0.7512176911764683
36.544378,195493.7431372549,-35.07455832778145,0.7512176911764683
36.544378,197540.79803921568,-73.46232574028896,0.7512176911764683
36.544378,199587.85294117645,-41.8476522775855,0.7512176911764683
36.544378,201634.9078431372,-39.967591628512835,0.7512176911764683
36.544378,203681.96274509805,-33.93247501743313,0.7512176911764683
36.544378,205729.0176470588,-25.258139846577656,0.7512176911764683
36.544378,207776.0725490196,-19.30374721210785,0.7512176911764683
36.544378,209823.12745098036,-23.637317946739177,0.7512176911764683
36.544378,211870.1823529412,-22.892847928941706,0.7512176911764683
36.544378,213917.23725490196,-26.703900432748576,0.7512176911764683
36.606909,93140.99803921569,-26.39720440542031,0.7512176911764683
36.606909,95188.05294117646,-20.538161053085524,0.7512176911764683
36.606909,97235.10784313724,-15.5405523707002,0.7512176911764683
36.606909,99282.162745098,-27.932313618615943,0.7512176911764683
36.606909,101329.21764705885,-26.035565875622293,0.7512176911764683
36.606909,103376.2725490196,-20.740638662467177,0.7512176911764683
36.606909,105423.32745098036,-28.18645862838631,0.7512176911764683
36.606909,107470.38235294116,-23.93236783670259,0.7512176911764683
36.606909,109517.43725490198,-21.55074843352065,0.7512176911764683
36.606909,111564.49215686276,-20.129570182618703,0.7512176911764683
36.606909,113611.54705882352,-21.28653114397682,0.7512176911764683
36.606909,115658.60196078428,-24.211822289355087,0.7512176911764683
36.606909,117705.65686274506,-24.440904225791662,0.7512176911764683
36.606909,119752.71176470588,-32.643076075603425,0.7512176911764683
36.606909,121799.76666666666,-41.69979844039947,0.7512176911764683
36.606909,123846.82156862743,-30.87766218038169,0.7512176911764683
36.606909,125893.8764705882,-20.086609550137332,0.7512176911764683
36.606909,127940.93137254904,-16.032191450570096,0.7512176911764683
36.606909,129987.9862745098,-18.091664811435912,0.7512176911764683
36.606909,132035.04117647058,-25.96833495406794,0.7512176911764683
36.606909,134082.09607843135,-14.90610425327323,0.7512176911764683
36.606909,136129.15098039212,-4.308135825953766,0.7512176911764683
36.606909,138176.20588235295,-4.978286693021599,0.7512176911764683
36.606909,140223.26078431372,-21.108766362436615,0.7512176911764683
36.606909,142270.3156862745,-31.724696119123166,0.7512176911764683
36.606909,144317.37058823527,-14.89962562620563,0.7512176911764683
36.606909,146364.4254901961,-29.443269871153905,0.7512176911764683
36.606909,148411.48039215687,-30.62041201939108,0.7512176911764683
36.606909,150458.53529411764,-32.050868084517255,0.7512176911764683
36.606909,152505.5901960784,-24.882116606211575,0.7512176911764683
36.606909,154552.64509803918,-21.895494572993748,0.7512176911764683
36.606909,156599.7,-30.14322678890956,0.7512176911764683
36.606909,158646.75490196078,-33.66301988261687,0.7512176911764683
36.606909,160693.80980392155,-33.68266242956198,0.7512176911764683
36.606909,162740.86470588233,-29.433003918457175,0.7512176911764683
36.606909,164787.91960784316,-28.00224808816663,0.7512176911764683
36.606909,166834.97450980393,-34.524082719678205,0.7512176911764683
36.606909,168882.0294117647,-32.07141002655785,0.7512176911764683
36.606909,170929.08431372547,-30.537350255022396,0.7512176911764683
36.606909,172976.13921568624,-26.87557650246058,0.7512176911764683
36.606909,175023.19411764707,-34.97695834547484,0.7512176911764683
36.606909,177070.24901960784,-26.70876077679932,0.7512176911764683
36.606909,179117.3039215686,-25.536536135352783,0.7512176911764683
36.606909,181164.3588235294,-34.776147910770135,0.7512176911764683
36.606909,183211.41372549016,-18.78681023534825,0.7512176911764683
36.606909,185258.468627451,-24.717381568832582,0.7512176911764683
36.606909,187305.52352941176,-25.290567357206157,0.7512176911764683
36.606909,189352.57843137253,-33.3790320207433,0.7512176911764683
36.606909,191399.6333333333,-48.17175730416038,0.7512176911764683
36.606909,193446.68823529413,-38.90035158850196,0.7512176911764683
