Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
51.833747,93140.99803921569,-44.020061270548574,
51.833747,95188.05294117646,-37.881495843683176,
51.833747,97235.10784313724,-35.0687132202105,
51.833747,99282.162745098,-40.88439970279569,
51.833747,101329.21764705885,-37.583419160652085,
51.833747,103376.2725490196,-36.80247508662371,
51.833747,105423.32745098036,-38.44231990310383,
51.833747,107470.38235294116,-39.525663851195574,
51.833747,109517.43725490198,-35.6473899499764,
51.833747,111564.49215686276,-30.126675871146624,
51.833747,113611.54705882352,-37.22214500637816,
51.833747,115658.60196078428,-30.25312453958021,
51.833747,117705.65686274506,-41.892966362962696,
51.833747,119752.71176470588,-33.55270022333096,
51.833747,121799.76666666666,-32.740938620643135,
51.833747,123846.82156862743,-43.244464958494184,
51.833747,125893.8764705882,-36.892679124317375,
51.833747,127940.93137254904,-26.26329734996571,
51.833747,129987.9862745098,-36.71995571414649,
51.833747,132035.04117647058,-36.26304406535473,
51.833747,134082.09607843135,-42.41281547109256,
51.833747,136129.15098039212,-39.06282559878069,
51.833747,138176.20588235295,-42.672481848167656,
51.833747,140223.26078431372,-37.97373001490836,
51.833747,142270.3156862745,-42.36067152192025,
51.833747,144317.37058823527,-29.339949458597324,
51.833747,146364.4254901961,-27.77582951760224,
51.833747,148411.48039215687,-39.75873475001901,
51.833747,150458.53529411764,-28.493469772201337,
51.833747,152505.5901960784,-27.987354581469035,
51.833747,154552.64509803918,-34.133742589414815,
51.833747,156599.7,-43.85594728195671,
51.833747,158646.75490196078,-38.71661185068363,
51.833747,160693.80980392155,-38.42563401433586,
51.833747,162740.86470588233,-40.3654383058408,
51.833747,164787.91960784316,-39.434441738759446,
51.833747,166834.97450980393,-58.34686558297712,
51.833747,168882.0294117647,-39.85849822458677,
51.833747,170929.08431372547,-27.548763153976687,
51.833747,172976.13921568624,-31.76830014366822,
51.833747,175023.19411764707,-35.031242875352845,
51.833747,177070.24901960784,-40.52021313004321,
51.833747,179117.3039215686,-35.497813521059854,
51.833747,181164.3588235294,-39.29264369695911,
51.833747,183211.41372549016,-33.75048119388475,
51.833747,185258.468627451,-37.91186038305478,
51.833747,187305.52352941176,-32.18223415863694,
51.833747,189352.57843137253,-35.63305576724018,
51.833747,191399.6333333333,-35.54253350871089,
51.833747,193446.68823529413,-35.73255810596539,
51.833747,195493.7431372549,-35.45647325058909,
51.833747,197540.79803921568,-48.12868278800832,
51.833747,199587.85294117645,-52.72913361696137,
51.833747,201634.9078431372,-38.511271559360424,
51.833747,203681.96274509805,-49.90325058314057,
51.833747,205729.0176470588,-54.43194097781174,
51.833747,207776.0725490196,-46.77454651878798,
51.833747,209823.12745098036,-44.281081644462034,
51.833747,211870.1823529412,-44.988138951033136,
51.833747,213917.23725490196,-47.76515849026034,
51.913135,93140.99803921569,-49.19760116320941,
51.913135,95188.05294117646,-40.99581988637371,
51.913135,97235.10784313724,-35.34495278075365,
51.913135,99282.162745098,-38.07576259555783,
51.913135,101329.21764705885,-39.24032380188337,
51.913135,103376.2725490196,-49.03292303790281,
51.913135,105423.32745098036,-31.459248051012768,
51.913135,107470.38235294116,-30.17284815490862,
51.913135,109517.43725490198,-32.059844007476286,
51.913135,111564.49215686276,-42.33925677024499,
51.913135,113611.54705882352,-43.052703316290035,
51.913135,115658.60196078428,-26.3465237174599,
51.913135,117705.65686274506,-31.98220271471934,
51.913135,119752.71176470588,-28.82390177317091,
51.913135,121799.76666666666,-29.607673659539095,
51.913135,123846.82156862743,-31.511374540813584,
51.913135,125893.8764705882,-30.704334072557412,
51.913135,127940.93137254904,-24.692957354791375,
51.913135,129987.9862745098,-42.885700629648575,
51.913135,132035.04117647058,-44.02325340428788,
51.913135,134082.09607843135,-36.21335351049101,
51.913135,136129.15098039212,-42.57996553014383,
51.913135,138176.20588235295,-35.41709889558477,
51.913135,140223.26078431372,-48.837244139278354,
51.913135,142270.3156862745,-60.14981084686097,
51.913135,144317.37058823527,-31.48598622955621,
51.913135,146364.4254901961,-28.204066424790277,
51.913135,148411.48039215687,-30.107906065645334,
51.913135,150458.53529411764,-26.881485189896697,
51.913135,152505.5901960784,-26.002541844359435,
51.913135,154552.64509803918,-31.12208747444197,
51.913135,156599.7,-40.63739972991841,
51.913135,158646.75490196078,-40.1785110105633,
51.913135,160693.80980392155,-38.23829165445564,
51.913135,162740.86470588233,-52.26979697350666,
51.913135,164787.91960784316,-54.78357045246064,
51.913135,166834.97450980393,-41.96939598196407,
51.913135,168882.0294117647,-49.07805184005119,
51.913135,170929.08431372547,-27.097096599760565,
51.913135,172976.13921568624,-27.546828989553003,
51.913135,175023.19411764707,-29.096173299513374,
51.913135,177070.24901960784,-27.823903758176357,
51.913135,179117.3039215686,-28.799438381479412,
51.913135,181164.3588235294,-31.08936727954415,
51.913135,183211.41372549016,-30.750761396216003,
51.913135,185258.468627451,-39.68335671446472,
51.913135,187305.52352941176,-35.136384360798274,
51.913135,189352.57843137253,-30.369115091452727,
51.913135,191399.6333333333,-37.47122953123126,
51.913135,193446.68823529413,-33.24805681691757,
51.913135,195493.7431372549,-31.652439881226194,
51.913135,197540.79803921568,-39.69903224650853,
51.913135,199587.85294117645,-53.08986102858965,
51.913135,201634.9078431372,-39.22741009474104,
51.913135,203681.96274509805,-37.35791059493963,
51.913135,205729.0176470588,-38.6045455260884,
51.913135,207776.0725490196,-45.10718863927536,
51.913135,209823.12745098036,-47.81955565675973,
51.913135,211870.1823529412,-43.50842524936421,
51.913135,213917.23725490196,-48.59332959260804,
51.968784,93140.99803921569,-48.827562254316064,
51.968784,95188.05294117646,-39.96752558842349,
51.968784,97235.10784313724,-37.263644164183155,
51.968784,99282.162745098,-37.20637867819409,
51.968784,101329.21764705885,-41.236974022926496,
51.968784,103376.2725490196,-48.857950374687,
51.968784,105423.32745098036,-32.11208844402209,
51.968784,107470.38235294116,-32.517707353916826,
51.968784,109517.43725490198,-31.65891913476889,
51.968784,111564.49215686276,-47.23660269830907,
51.968784,113611.54705882352,-53.46051236496635,
51.968784,115658.60196078428,-26.84052691114853,
51.968784,117705.65686274506,-36.30785035125695,
51.968784,119752.71176470588,-30.724398718570622,
51.968784,121799.76666666666,-32.37069882540321,
