Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
65.37749,93140.99803921569,-23.80661487497199,1.1657463088235285
65.37749,95188.05294117646,-18.969265304992312,1.1657463088235285
65.37749,97235.10784313724,-16.074997098690385,1.1657463088235285
65.37749,99282.162745098,-20.66057960083954,1.1657463088235285
65.37749,101329.21764705885,-16.757182336855358,1.1657463088235285
65.37749,103376.2725490196,-27.00068643697951,1.1657463088235285
65.37749,105423.32745098036,-13.54702390357744,1.1657463088235285
65.37749,107470.38235294116,-14.776826178881668,1.1657463088235285
65.37749,109517.43725490198,-23.374022285248827,1.1657463088235285
65.37749,111564.49215686276,-29.158201547760207,1.1657463088235285
65.37749,113611.54705882352,-20.96300435247234,1.1657463088235285
65.37749,115658.60196078428,-20.167319699843745,1.1657463088235285
65.37749,117705.65686274506,-19.270153325014356,1.1657463088235285
65.37749,119752.71176470588,-24.378766696170207,1.1657463088235285
65.37749,121799.76666666666,-24.15799554070636,1.1657463088235285
65.37749,123846.82156862743,-31.49030639011354,1.1657463088235285
65.37749,125893.8764705882,-37.32010998522852,1.1657463088235285
65.37749,127940.93137254904,-12.531424212961134,1.1657463088235285
65.37749,129987.9862745098,-26.72870691587437,1.1657463088235285
65.37749,132035.04117647058,-26.84309042621324,1.1657463088235285
65.37749,134082.09607843135,-29.222077241852645,1.1657463088235285
65.37749,136129.15098039212,-18.184026816432283,1.1657463088235285
65.37749,138176.20588235295,-15.24210586356203,1.1657463088235285
65.37749,140223.26078431372,-10.689308654840442,1.1657463088235285
65.37749,142270.3156862745,-4.607329302516534,1.1657463088235285
65.37749,144317.37058823527,-16.496008517925656,1.1657463088235285
65.37749,146364.4254901961,-16.560644963153376,1.1657463088235285
65.37749,148411.48039215687,-26.431768475735133,1.1657463088235285
65.37749,150458.53529411764,-30.252568652195123,1.1657463088235285
65.37749,152505.5901960784,-30.31821056568826,1.1657463088235285
65.37749,154552.64509803918,-34.62294647175242,1.1657463088235285
65.37749,156599.7,-18.145647424469836,1.1657463088235285
65.37749,158646.75490196078,-25.640440093466648,1.1657463088235285
65.37749,160693.80980392155,-24.973627533000133,1.1657463088235285
65.37749,162740.86470588233,-23.66127635884341,1.1657463088235285
65.37749,164787.91960784316,-37.00240079831261,1.1657463088235285
65.37749,166834.97450980393,-38.52728881121759,1.1657463088235285
65.37749,168882.0294117647,-27.43539792329884,1.1657463088235285
65.37749,170929.08431372547,-32.14900858353992,1.1657463088235285
65.37749,172976.13921568624,-18.720145983711117,1.1657463088235285
65.37749,175023.19411764707,-30.01072991448961,1.1657463088235285
65.37749,177070.24901960784,-19.30965482952007,1.1657463088235285
65.37749,179117.3039215686,-24.755368951080676,1.1657463088235285
65.37749,181164.3588235294,-16.571768769113493,1.1657463088235285
65.37749,183211.41372549016,-19.09559631384755,1.1657463088235285
65.37749,185258.468627451,-29.714743010062776,1.1657463088235285
65.37749,187305.52352941176,-34.12589533574102,1.1657463088235285
65.37749,189352.57843137253,-27.022017772313703,1.1657463088235285
65.37749,191399.6333333333,-35.67644243977014,1.1657463088235285
65.37749,193446.68823529413,-27.002073321373512,1.1657463088235285
65.37749,195493.7431372549,-29.759876044674584,1.1657463088235285
65.37749,197540.79803921568,-39.999493591516206,1.1657463088235285
65.37749,199587.85294117645,-34.61757152000167,1.1657463088235285
65.37749,201634.9078431372,-40.75593009510926,1.1657463088235285
65.37749,203681.96274509805,-35.79540925845489,1.1657463088235285
65.37749,205729.0176470588,-34.581224204376596,1.1657463088235285
65.37749,207776.0725490196,-34.576567370509885,1.1657463088235285
65.37749,209823.12745098036,-29.662619816409386,1.1657463088235285
65.37749,211870.1823529412,-27.695589160735985,1.1657463088235285
65.37749,213917.23725490196,-31.131406846489345,1.1657463088235285
65.430808,93140.99803921569,-23.131486509954193,1.1657463088235285
65.430808,95188.05294117646,-18.169190129284665,1.1657463088235285
65.430808,97235.10784313724,-15.875465436231702,1.1657463088235285
65.430808,99282.162745098,-21.224385570877203,1.1657463088235285
65.430808,101329.21764705885,-16.606092052166822,1.1657463088235285
65.430808,103376.2725490196,-27.29125772746855,1.1657463088235285
65.430808,105423.32745098036,-13.367198619449658,1.1657463088235285
65.430808,107470.38235294116,-14.5287837434981,1.1657463088235285
65.430808,109517.43725490198,-22.76270476529509,1.1657463088235285
65.430808,111564.49215686276,-29.767536216007073,1.1657463088235285
65.430808,113611.54705882352,-20.93839482085956,1.1657463088235285
65.430808,115658.60196078428,-20.03004008193105,1.1657463088235285
65.430808,117705.65686274506,-18.846831128210265,1.1657463088235285
65.430808,119752.71176470588,-23.972273084689224,1.1657463088235285
65.430808,121799.76666666666,-23.676779333994048,1.1657463088235285
65.430808,123846.82156862743,-29.635043590536263,1.1657463088235285
65.430808,125893.8764705882,-36.19271387607888,1.1657463088235285
65.430808,127940.93137254904,-12.515076314605944,1.1657463088235285
65.430808,129987.9862745098,-26.75968733624209,1.1657463088235285
65.430808,132035.04117647058,-26.545224970833388,1.1657463088235285
65.430808,134082.09607843135,-29.109102496389497,1.1657463088235285
65.430808,136129.15098039212,-17.655949781631527,1.1657463088235285
65.430808,138176.20588235295,-14.332702272198151,1.1657463088235285
65.430808,140223.26078431372,-11.18286356427063,1.1657463088235285
65.430808,142270.3156862745,-4.51366975204105,1.1657463088235285
65.430808,144317.37058823527,-17.489787734748713,1.1657463088235285
65.430808,146364.4254901961,-15.194527857736505,1.1657463088235285
65.430808,148411.48039215687,-23.600869010678128,1.1657463088235285
65.430808,150458.53529411764,-33.40460438408493,1.1657463088235285
65.430808,152505.5901960784,-31.980105644387613,1.1657463088235285
65.430808,154552.64509803918,-31.526108305982724,1.1657463088235285
65.430808,156599.7,-18.11384373089786,1.1657463088235285
65.430808,158646.75490196078,-25.019969554612373,1.1657463088235285
65.430808,160693.80980392155,-24.634515838105855,1.1657463088235285
65.430808,162740.86470588233,-23.95074219676607,1.1657463088235285
65.430808,164787.91960784316,-38.50249668282187,1.1657463088235285
65.430808,166834.97450980393,-44.52372891296069,1.1657463088235285
65.430808,168882.0294117647,-26.866067763922217,1.1657463088235285
65.430808,170929.08431372547,-33.48702915007146,1.1657463088235285
65.430808,172976.13921568624,-18.625058831721145,1.1657463088235285
65.430808,175023.19411764707,-30.281114981494753,1.1657463088235285
65.430808,177070.24901960784,-19.29008674140038,1.1657463088235285
65.430808,179117.3039215686,-23.60901020019105,1.1657463088235285
65.430808,181164.3588235294,-16.554345375697146,1.1657463088235285
65.430808,183211.41372549016,-18.742925950328296,1.1657463088235285
65.430808,185258.468627451,-30.96666937836681,1.1657463088235285
65.430808,187305.52352941176,-33.978180049182974,1.1657463088235285
65.430808,189352.57843137253,-26.873998943157194,1.1657463088235285
65.430808,191399.6333333333,-37.31230030682326,1.1657463088235285
65.430808,193446.68823529413,-27.904600683267596,1.1657463088235285
65.430808,195493.7431372549,-29.02221466126771,1.1657463088235285
65.430808,197540.79803921568,-39.26031754285692,1.1657463088235285
65.430808,199587.85294117645,-34.53880202013268,1.1657463088235285
65.430808,201634.9078431372,-41.972363804984866,1.1657463088235285
65.430808,203681.96274509805,-33.13978590371533,1.1657463088235285
65.430808,205729.0176470588,-32.25767044326964,1.1657463088235285
65.430808,207776.0725490196,-37.15888203592043,1.1657463088235285
65.430808,209823.12745098036,-29.799606537353675,1.1657463088235285
65.430808,211870.1823529412,-28.048799836142457,1.1657463088235285
65.430808,213917.23725490196,-29.808175222433917,1.1657463088235285
65.484972,93140.99803921569,-25.389446909970463,1.1657463088235285
65.484972,95188.05294117646,-18.39198954538879,1.1657463088235285
65.484972,97235.10784313724,-21.365845793033984,1.1657463088235285
65.484972,99282.162745098,-23.031961037141944,1.1657463088235285
65.484972,101329.21764705885,-14.917515101959332,1.1657463088235285
65.484972,103376.2725490196,-18.31933275958793,1.1657463088235285
65.484972,105423.32745098036,-17.72575393276313,1.1657463088235285
65.484972,107470.38235294116,-17.950189487788265,1.1657463088235285
65.484972,109517.43725490198,-23.907235177258993,1.1657463088235285
65.484972,111564.49215686276,-32.90870777063684,1.1657463088235285
65.484972,113611.54705882352,-23.9497211630092,1.1657463088235285
65.484972,115658.60196078428,-24.23174832689646,1.1657463088235285
65.484972,117705.65686274506,-19.39526191669642,1.1657463088235285
65.484972,119752.71176470588,-24.598988303440645,1.1657463088235285
65.484972,121799.76666666666,-27.204309256435156,1.1657463088235285
65.484972,123846.82156862743,-31.67281592328188,1.1657463088235285
65.484972,125893.8764705882,-35.82323197806286,1.1657463088235285
65.484972,127940.93137254904,-13.60830183509699,1.1657463088235285
65.484972,129987.9862745098,-31.26465563368917,1.1657463088235285
65.484972,132035.04117647058,-27.41653363719756,1.1657463088235285
65.484972,134082.09607843135,-27.961525239201343,1.1657463088235285
65.484972,136129.15098039212,-17.567566226515936,1.1657463088235285
65.484972,138176.20588235295,-17.55704246527516,1.1657463088235285
65.484972,140223.26078431372,-10.806294811969195,1.1657463088235285
65.484972,142270.3156862745,-4.504128288587371,1.1657463088235285
65.484972,144317.37058823527,-16.731708870968284,1.1657463088235285
65.484972,146364.4254901961,-15.302990755633727,1.1657463088235285
65.484972,148411.48039215687,-22.34360668992465,1.1657463088235285
65.484972,150458.53529411764,-30.27311538522391,1.1657463088235285
65.484972,152505.5901960784,-42.45304576161311,1.1657463088235285
65.484972,154552.64509803918,-30.798861724328113,1.1657463088235285
65.484972,156599.7,-18.71648863778495,1.1657463088235285
65.484972,158646.75490196078,-25.98800640072134,1.1657463088235285
65.484972,160693.80980392155,-26.59554128077167,1.1657463088235285
65.484972,162740.86470588233,-25.497627867691456,1.1657463088235285
65.484972,164787.91960784316,-30.825176887051473,1.1657463088235285
65.484972,166834.97450980393,-38.87275033570237,1.1657463088235285
65.484972,168882.0294117647,-28.403595712017463,1.1657463088235285
65.484972,170929.08431372547,-32.15476242682173,1.1657463088235285
65.484972,172976.13921568624,-20.410899416558664,1.1657463088235285
65.484972,175023.19411764707,-33.535207685310446,1.1657463088235285
65.484972,177070.24901960784,-24.339337423861124,1.1657463088235285
65.484972,179117.3039215686,-40.04855774670681,1.1657463088235285
65.484972,181164.3588235294,-17.44017045129117,1.1657463088235285
65.484972,183211.41372549016,-21.79399404386838,1.1657463088235285
65.484972,185258.468627451,-29.80791137950517,1.1657463088235285
65.484972,187305.52352941176,-28.22734027469136,1.1657463088235285
65.484972,189352.57843137253,-27.10078925777126,1.1657463088235285
65.484972,191399.6333333333,-34.83143577679918,1.1657463088235285
65.484972,193446.68823529413,-32.343789639516835,1.1657463088235285
