Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
4.005711,93140.99803921569,-34.070014612511685,1.1657463088235285
4.005711,95188.05294117646,-37.739270612158535,1.1657463088235285
4.005711,97235.10784313724,-33.87316278792006,1.1657463088235285
4.005711,99282.162745098,-29.92883964560644,1.1657463088235285
4.005711,101329.21764705885,-25.720375617613556,1.1657463088235285
4.005711,103376.2725490196,-25.13763277998777,1.1657463088235285
4.005711,105423.32745098036,-24.3578504934791,1.1657463088235285
4.005711,107470.38235294116,-28.97962825898919,1.1657463088235285
4.005711,109517.43725490198,-36.209744551259135,1.1657463088235285
4.005711,111564.49215686276,-37.9081922257442,1.1657463088235285
4.005711,113611.54705882352,-33.74979341203439,1.1657463088235285
4.005711,115658.60196078428,-56.290108814969216,1.1657463088235285
4.005711,117705.65686274506,-41.97436334327595,1.1657463088235285
4.005711,119752.71176470588,-39.59007451829935,1.1657463088235285
4.005711,121799.76666666666,-45.22512257994948,1.1657463088235285
4.005711,123846.82156862743,-30.954231489907112,1.1657463088235285
4.005711,125893.8764705882,-29.807180783145014,1.1657463088235285
4.005711,127940.93137254904,-23.819059135755065,1.1657463088235285
4.005711,129987.9862745098,-40.562501708073455,1.1657463088235285
4.005711,132035.04117647058,-31.03166326437748,1.1657463088235285
4.005711,134082.09607843135,-32.43128187948574,1.1657463088235285
4.005711,136129.15098039212,-35.30958044269356,1.1657463088235285
4.005711,138176.20588235295,-25.639017202672783,1.1657463088235285
4.005711,140223.26078431372,-16.11830585252682,1.1657463088235285
4.005711,142270.3156862745,-14.145354860053626,1.1657463088235285
4.005711,144317.37058823527,-28.007745389011003,1.1657463088235285
4.005711,146364.4254901961,-40.01517158671788,1.1657463088235285
4.005711,148411.48039215687,-28.295207961482348,1.1657463088235285
4.005711,150458.53529411764,-34.27621394672584,1.1657463088235285
4.005711,152505.5901960784,-48.91769892329124,1.1657463088235285
4.005711,154552.64509803918,-24.37870138448787,1.1657463088235285
4.005711,156599.7,-30.759803154365414,1.1657463088235285
4.005711,158646.75490196078,-39.31113523060748,1.1657463088235285
4.005711,160693.80980392155,-38.84976734810686,1.1657463088235285
4.005711,162740.86470588233,-38.21229739065474,1.1657463088235285
4.005711,164787.91960784316,-44.41980783784128,1.1657463088235285
4.005711,166834.97450980393,-38.794773080561825,1.1657463088235285
4.005711,168882.0294117647,-35.17023810130301,1.1657463088235285
4.005711,170929.08431372547,-42.28829763961155,1.1657463088235285
4.005711,172976.13921568624,-29.73417861615728,1.1657463088235285
4.005711,175023.19411764707,-31.49843944573467,1.1657463088235285
4.005711,177070.24901960784,-30.84023980713553,1.1657463088235285
4.005711,179117.3039215686,-24.415790624711967,1.1657463088235285
4.005711,181164.3588235294,-27.14374149491338,1.1657463088235285
4.005711,183211.41372549016,-25.852160102092547,1.1657463088235285
4.005711,185258.468627451,-39.84908143096626,1.1657463088235285
4.005711,187305.52352941176,-38.70183601896867,1.1657463088235285
4.005711,189352.57843137253,-33.20870728359564,1.1657463088235285
4.005711,191399.6333333333,-37.56004255875316,1.1657463088235285
4.005711,193446.68823529413,-36.54619687044045,1.1657463088235285
4.005711,195493.7431372549,-44.22136933685556,1.1657463088235285
4.005711,197540.79803921568,-40.239647392170326,1.1657463088235285
4.005711,199587.85294117645,-47.668781842495555,1.1657463088235285
4.005711,201634.9078431372,-33.22729253163064,1.1657463088235285
4.005711,203681.96274509805,-39.77670050027319,1.1657463088235285
4.005711,205729.0176470588,-37.97400280646129,1.1657463088235285
4.005711,207776.0725490196,-34.28188989302753,1.1657463088235285
4.005711,209823.12745098036,-49.61538907237131,1.1657463088235285
4.005711,211870.1823529412,-44.554963610073855,1.1657463088235285
4.005711,213917.23725490196,-49.41968816207325,1.1657463088235285
4.112481,93140.99803921569,-34.30553557135344,1.1657463088235285
4.112481,95188.05294117646,-37.03730584724713,1.1657463088235285
4.112481,97235.10784313724,-31.036630948721346,1.1657463088235285
4.112481,99282.162745098,-32.866763330047036,1.1657463088235285
4.112481,101329.21764705885,-26.817452944323655,1.1657463088235285
4.112481,103376.2725490196,-45.94356324430266,1.1657463088235285
4.112481,105423.32745098036,-31.889788461810976,1.1657463088235285
4.112481,107470.38235294116,-35.252959310440595,1.1657463088235285
4.112481,109517.43725490198,-34.42526606950378,1.1657463088235285
4.112481,111564.49215686276,-32.50864270736346,1.1657463088235285
4.112481,113611.54705882352,-39.76762159465344,1.1657463088235285
4.112481,115658.60196078428,-37.83389986625219,1.1657463088235285
4.112481,117705.65686274506,-34.55156438080338,1.1657463088235285
4.112481,119752.71176470588,-33.814628879184596,1.1657463088235285
4.112481,121799.76666666666,-37.60620256918366,1.1657463088235285
4.112481,123846.82156862743,-32.747076287134114,1.1657463088235285
4.112481,125893.8764705882,-30.08569697034387,1.1657463088235285
4.112481,127940.93137254904,-27.47508357787936,1.1657463088235285
4.112481,129987.9862745098,-30.705686670478457,1.1657463088235285
4.112481,132035.04117647058,-42.44722193422178,1.1657463088235285
4.112481,134082.09607843135,-32.48904434408751,1.1657463088235285
4.112481,136129.15098039212,-37.556867347775714,1.1657463088235285
4.112481,138176.20588235295,-25.39702411358387,1.1657463088235285
4.112481,140223.26078431372,-17.704845013082437,1.1657463088235285
4.112481,142270.3156862745,-14.724738541570604,1.1657463088235285
4.112481,144317.37058823527,-23.99466939489408,1.1657463088235285
4.112481,146364.4254901961,-26.582462427821497,1.1657463088235285
4.112481,148411.48039215687,-37.848073811887865,1.1657463088235285
4.112481,150458.53529411764,-35.266168306333306,1.1657463088235285
4.112481,152505.5901960784,-32.39147748864144,1.1657463088235285
4.112481,154552.64509803918,-28.78615801591462,1.1657463088235285
4.112481,156599.7,-27.851421756177515,1.1657463088235285
4.112481,158646.75490196078,-38.357226444674794,1.1657463088235285
4.112481,160693.80980392155,-32.8468396129132,1.1657463088235285
4.112481,162740.86470588233,-39.42749509209738,1.1657463088235285
4.112481,164787.91960784316,-36.14081027121188,1.1657463088235285
4.112481,166834.97450980393,-36.36884432533875,1.1657463088235285
4.112481,168882.0294117647,-50.44980516756066,1.1657463088235285
4.112481,170929.08431372547,-30.226496484468957,1.1657463088235285
4.112481,172976.13921568624,-30.42290146337095,1.1657463088235285
4.112481,175023.19411764707,-41.97252863294074,1.1657463088235285
4.112481,177070.24901960784,-31.476191594038873,1.1657463088235285
4.112481,179117.3039215686,-28.09530285208258,1.1657463088235285
4.112481,181164.3588235294,-41.935797449469206,1.1657463088235285
4.112481,183211.41372549016,-30.16396277069348,1.1657463088235285
4.112481,185258.468627451,-36.40409118444994,1.1657463088235285
4.112481,187305.52352941176,-33.753099281896,1.1657463088235285
4.112481,189352.57843137253,-33.58965043794599,1.1657463088235285
4.112481,191399.6333333333,-36.45102284675427,1.1657463088235285
4.112481,193446.68823529413,-42.77269692267477,1.1657463088235285
4.112481,195493.7431372549,-44.1834276630496,1.1657463088235285
4.112481,197540.79803921568,-38.27542345335832,1.1657463088235285
4.112481,199587.85294117645,-51.99745745970672,1.1657463088235285
4.112481,201634.9078431372,-38.15147361259707,1.1657463088235285
4.112481,203681.96274509805,-46.33773990312589,1.1657463088235285
4.112481,205729.0176470588,-42.36244005509142,1.1657463088235285
4.112481,207776.0725490196,-32.86548240618345,1.1657463088235285
4.112481,209823.12745098036,-36.44654702348619,1.1657463088235285
4.112481,211870.1823529412,-43.76671058728441,1.1657463088235285
4.112481,213917.23725490196,-50.31637598775294,1.1657463088235285
4.257222,93140.99803921569,-34.81306110075529,1.1657463088235285
4.257222,95188.05294117646,-36.58849167836665,1.1657463088235285
4.257222,97235.10784313724,-32.58468655437732,1.1657463088235285
4.257222,99282.162745098,-29.65265481097747,1.1657463088235285
4.257222,101329.21764705885,-24.09904556987534,1.1657463088235285
4.257222,103376.2725490196,-29.76232980378122,1.1657463088235285
4.257222,105423.32745098036,-27.095616705166144,1.1657463088235285
4.257222,107470.38235294116,-30.810238312394972,1.1657463088235285
4.257222,109517.43725490198,-37.35429782382177,1.1657463088235285
4.257222,111564.49215686276,-40.14085025745041,1.1657463088235285
4.257222,113611.54705882352,-35.631618635792485,1.1657463088235285
4.257222,115658.60196078428,-46.71329391601121,1.1657463088235285
4.257222,117705.65686274506,-41.401468949921146,1.1657463088235285
4.257222,119752.71176470588,-36.843836437363095,1.1657463088235285
4.257222,121799.76666666666,-39.07060070160768,1.1657463088235285
4.257222,123846.82156862743,-31.677676072815185,1.1657463088235285
4.257222,125893.8764705882,-29.51361174061402,1.1657463088235285
4.257222,127940.93137254904,-23.38253028644869,1.1657463088235285
4.257222,129987.9862745098,-35.295480158583175,1.1657463088235285
4.257222,132035.04117647058,-31.476277323297776,1.1657463088235285
4.257222,134082.09607843135,-34.43788674399064,1.1657463088235285
4.257222,136129.15098039212,-34.43757391814128,1.1657463088235285
4.257222,138176.20588235295,-26.31783999803265,1.1657463088235285
4.257222,140223.26078431372,-16.91619427893339,1.1657463088235285
4.257222,142270.3156862745,-14.21332450881781,1.1657463088235285
4.257222,144317.37058823527,-26.829292090556955,1.1657463088235285
4.257222,146364.4254901961,-34.35123158302834,1.1657463088235285
4.257222,148411.48039215687,-29.672922804360457,1.1657463088235285
4.257222,150458.53529411764,-33.12297816484937,1.1657463088235285
4.257222,152505.5901960784,-49.934075954283514,1.1657463088235285
4.257222,154552.64509803918,-23.565470881951693,1.1657463088235285
4.257222,156599.7,-31.17747854887588,1.1657463088235285
4.257222,158646.75490196078,-37.2625714112734,1.1657463088235285
4.257222,160693.80980392155,-40.60899184137633,1.1657463088235285
4.257222,162740.86470588233,-39.727095796913325,1.1657463088235285
4.257222,164787.91960784316,-51.88761989507213,1.1657463088235285
4.257222,166834.97450980393,-36.76581474575204,1.1657463088235285
4.257222,168882.0294117647,-35.276130282691355,1.1657463088235285
4.257222,170929.08431372547,-39.08044246190571,1.1657463088235285
4.257222,172976.13921568624,-29.400222734685943,1.1657463088235285
4.257222,175023.19411764707,-32.730376764252156,1.1657463088235285
4.257222,177070.24901960784,-28.16136159519642,1.1657463088235285
4.257222,179117.3039215686,-23.283569001240757,1.1657463088235285
4.257222,181164.3588235294,-29.30129440148361,1.1657463088235285
4.257222,183211.41372549016,-25.03526283347393,1.1657463088235285
4.257222,185258.468627451,-36.86112661741083,1.1657463088235285
4.257222,187305.52352941176,-43.480033790450534,1.1657463088235285
4.257222,189352.57843137253,-30.31754075728982,1.1657463088235285
4.257222,191399.6333333333,-34.504670061968056,1.1657463088235285
4.257222,193446.68823529413,-45.421581295302424,1.1657463088235285
4.257222,195493.7431372549,-43.55982041917208,1.1657463088235285
4.257222,197540.79803921568,-42.66858118507288,1.1657463088235285
4.257222,199587.85294117645,-49.56702372694111,1.1657463088235285
4.257222,201634.9078431372,-32.80614213640916,1.1657463088235285
4.257222,203681.96274509805,-39.44871071955196,1.1657463088235285
4.257222,205729.0176470588,-39.661458861791765,1.1657463088235285
4.257222,207776.0725490196,-33.425912976079246,1.1657463088235285
4.257222,209823.12745098036,-37.661343338509944,1.1657463088235285
4.257222,211870.1823529412,-42.87696108833916,1.1657463088235285
4.257222,213917.23725490196,-46.178409629261246,1.1657463088235285
4.315762,93140.99803921569,-35.37769912261997,1.1657463088235285
4.315762,95188.05294117646,-38.13467988045724,1.1657463088235285
4.315762,97235.10784313724,-32.11391635792676,1.1657463088235285
4.315762,99282.162745098,-28.80566706098869,1.1657463088235285
4.315762,101329.21764705885,-26.4121989786338,1.1657463088235285
4.315762,103376.2725490196,-22.831822516024364,1.1657463088235285
4.315762,105423.32745098036,-23.325178984884943,1.1657463088235285
4.315762,107470.38235294116,-29.990231547339413,1.1657463088235285
4.315762,109517.43725490198,-34.00959237835377,1.1657463088235285
4.315762,111564.49215686276,-36.178925164464104,1.1657463088235285
4.315762,113611.54705882352,-34.78937493185458,1.1657463088235285
4.315762,115658.60196078428,-47.07376602414924,1.1657463088235285
4.315762,117705.65686274506,-45.60951699595985,1.1657463088235285
4.315762,119752.71176470588,-44.53775688556364,1.1657463088235285
4.315762,121799.76666666666,-42.31537587933672,1.1657463088235285
4.315762,123846.82156862743,-31.7515531312936,1.1657463088235285
4.315762,125893.8764705882,-29.427262008888416,1.1657463088235285
4.315762,127940.93137254904,-23.78219976990305,1.1657463088235285
4.315762,129987.9862745098,-41.421050623453894,1.1657463088235285
4.315762,132035.04117647058,-30.73671917139897,1.1657463088235285
4.315762,134082.09607843135,-34.97812726915914,1.1657463088235285
4.315762,136129.15098039212,-36.753458841995965,1.1657463088235285
4.315762,138176.20588235295,-24.98576057331348,1.1657463088235285
4.315762,140223.26078431372,-15.990808118623896,1.1657463088235285
4.315762,142270.3156862745,-14.298776940260163,1.1657463088235285
4.315762,144317.37058823527,-27.764267455746143,1.1657463088235285
4.315762,146364.4254901961,-43.46939341172995,1.1657463088235285
4.315762,148411.48039215687,-27.982868553170164,1.1657463088235285
4.315762,150458.53529411764,-32.61673431999884,1.1657463088235285
4.315762,152505.5901960784,-47.08512064678777,1.1657463088235285
4.315762,154552.64509803918,-24.131120784371056,1.1657463088235285
4.315762,156599.7,-29.893282156116463,1.1657463088235285
4.315762,158646.75490196078,-39.47825248496454,1.1657463088235285
4.315762,160693.80980392155,-39.626454826001606,1.1657463088235285
4.315762,162740.86470588233,-37.63943715572542,1.1657463088235285
4.315762,164787.91960784316,-45.160768286978936,1.1657463088235285
4.315762,166834.97450980393,-39.64217288912494,1.1657463088235285
4.315762,168882.0294117647,-34.7686597192623,1.1657463088235285
4.315762,170929.08431372547,-43.65983405024653,1.1657463088235285
4.315762,172976.13921568624,-30.40303924768217,1.1657463088235285
4.315762,175023.19411764707,-31.10565422106023,1.1657463088235285
4.315762,177070.24901960784,-31.57216410662714,1.1657463088235285
4.315762,179117.3039215686,-25.51946677895903,1.1657463088235285
4.315762,181164.3588235294,-27.264224159708057,1.1657463088235285
4.315762,183211.41372549016,-26.081383396360756,1.1657463088235285
4.315762,185258.468627451,-37.37423834341924,1.1657463088235285
4.315762,187305.52352941176,-37.57984422571609,1.1657463088235285
4.315762,189352.57843137253,-34.50888517504476,1.1657463088235285
4.315762,191399.6333333333,-36.80577541215872,1.1657463088235285
4.315762,193446.68823529413,-39.69337410239578,1.1657463088235285
4.315762,195493.7431372549,-40.23861488943346,1.1657463088235285
4.315762,197540.79803921568,-40.48490523742295,1.1657463088235285
4.315762,199587.85294117645,-49.28345411752928,1.1657463088235285
4.315762,201634.9078431372,-32.822451207950515,1.1657463088235285
4.315762,203681.96274509805,-40.06563962649252,1.1657463088235285
4.315762,205729.0176470588,-37.898310440731215,1.1657463088235285
4.315762,207776.0725490196,-35.44141392685832,1.1657463088235285
4.315762,209823.12745098036,-53.15169543038361,1.1657463088235285
4.315762,211870.1823529412,-42.21047588704033,1.1657463088235285
4.315762,213917.23725490196,-45.24396825437698,1.1657463088235285
4.394088,93140.99803921569,-34.28622213955131,1.1657463088235285
4.394088,95188.05294117646,-35.901742148268085,1.1657463088235285
4.394088,97235.10784313724,-33.845287998308834,1.1657463088235285
4.394088,99282.162745098,-27.359229778651265,1.1657463088235285
4.394088,101329.21764705885,-26.773652461149883,1.1657463088235285
4.394088,103376.2725490196,-21.34131438896311,1.1657463088235285
4.394088,105423.32745098036,-22.963109833545232,1.1657463088235285
4.394088,107470.38235294116,-30.74246256235192,1.1657463088235285
4.394088,109517.43725490198,-32.56383526958926,1.1657463088235285
4.394088,111564.49215686276,-38.88369754580383,1.1657463088235285
4.394088,113611.54705882352,-35.55411115576034,1.1657463088235285
4.394088,115658.60196078428,-51.21994580808503,1.1657463088235285
4.394088,117705.65686274506,-41.512083304492734,1.1657463088235285
4.394088,119752.71176470588,-40.96876610332073,1.1657463088235285
4.394088,121799.76666666666,-39.1993859915266,1.1657463088235285
4.394088,123846.82156862743,-31.38641538916869,1.1657463088235285
4.394088,125893.8764705882,-29.243214054414956,1.1657463088235285
4.394088,127940.93137254904,-23.7954297020164,1.1657463088235285
4.394088,129987.9862745098,-42.93480562555233,1.1657463088235285
4.394088,132035.04117647058,-30.886877671835823,1.1657463088235285
4.394088,134082.09607843135,-32.84132887096105,1.1657463088235285
4.394088,136129.15098039212,-39.61122119739347,1.1657463088235285
4.394088,138176.20588235295,-25.05074003102719,1.1657463088235285
4.394088,140223.26078431372,-15.82625909701922,1.1657463088235285
4.394088,142270.3156862745,-14.590178039066869,1.1657463088235285
4.394088,144317.37058823527,-28.85106123871087,1.1657463088235285
4.394088,146364.4254901961,-40.79272385179952,1.1657463088235285
4.394088,148411.48039215687,-27.165979204871565,1.1657463088235285
4.394088,150458.53529411764,-34.03913459531637,1.1657463088235285
4.394088,152505.5901960784,-42.698172041370384,1.1657463088235285
4.394088,154552.64509803918,-23.914317514069865,1.1657463088235285
4.394088,156599.7,-29.26158123278939,1.1657463088235285
4.394088,158646.75490196078,-35.08950412415835,1.1657463088235285
4.394088,160693.80980392155,-46.320046617930366,1.1657463088235285
4.394088,162740.86470588233,-34.71047096428259,1.1657463088235285
4.394088,164787.91960784316,-61.41295122533116,1.1657463088235285
4.394088,166834.97450980393,-38.88707820987866,1.1657463088235285
4.394088,168882.0294117647,-33.26865600209825,1.1657463088235285
4.394088,170929.08431372547,-43.98235847845552,1.1657463088235285
4.394088,172976.13921568624,-30.956661941328683,1.1657463088235285
4.394088,175023.19411764707,-30.044649298859028,1.1657463088235285
4.394088,177070.24901960784,-33.1826470935283,1.1657463088235285
4.394088,179117.3039215686,-27.39895159114669,1.1657463088235285
4.394088,181164.3588235294,-26.4249118234326,1.1657463088235285
4.394088,183211.41372549016,-26.16885688236915,1.1657463088235285
4.394088,185258.468627451,-36.16412711623823,1.1657463088235285
4.394088,187305.52352941176,-36.95789380408007,1.1657463088235285
4.394088,189352.57843137253,-34.739048892086494,1.1657463088235285
4.394088,191399.6333333333,-38.50650058978519,1.1657463088235285
4.394088,193446.68823529413,-36.9988200104426,1.1657463088235285
4.394088,195493.7431372549,-38.90189528024885,1.1657463088235285
4.394088,197540.79803921568,-40.28456820110516,1.1657463088235285
4.394088,199587.85294117645,-46.38389338293347,1.1657463088235285
4.394088,201634.9078431372,-33.791932341103795,1.1657463088235285
4.394088,203681.96274509805,-41.33019922679281,1.1657463088235285
4.394088,205729.0176470588,-38.481377231561105,1.1657463088235285
4.394088,207776.0725490196,-35.63209822489198,1.1657463088235285
4.394088,209823.12745098036,-43.83362092349109,1.1657463088235285
4.394088,211870.1823529412,-41.69947648437369,1.1657463088235285
4.394088,213917.23725490196,-46.25680853293134,1.1657463088235285
4.470436,93140.99803921569,-33.42846184207878,1.1657463088235285
