Time Since Start (s),Frequency (Hz),Magnitude (dBFS),Range (m)
34.693302,93140.99803921569,-19.647752661088905,1.4420987205882363
34.693302,95188.05294117646,-26.200867783988613,1.4420987205882363
34.693302,97235.10784313724,-18.245707914116004,1.4420987205882363
34.693302,99282.162745098,-22.257108143324267,1.4420987205882363
34.693302,101329.21764705885,-24.97077743270948,1.4420987205882363
34.693302,103376.2725490196,-14.416104799252237,1.4420987205882363
34.693302,105423.32745098036,-13.802510415889238,1.4420987205882363
34.693302,107470.38235294116,-17.92985835864316,1.4420987205882363
34.693302,109517.43725490198,-13.81239259007877,1.4420987205882363
34.693302,111564.49215686276,-14.548348840475471,1.4420987205882363
34.693302,113611.54705882352,-13.99484986538918,1.4420987205882363
34.693302,115658.60196078428,-21.38344684734963,1.4420987205882363
34.693302,117705.65686274506,-31.418973625107768,1.4420987205882363
34.693302,119752.71176470588,-20.191605979694145,1.4420987205882363
34.693302,121799.76666666666,-27.35247439275802,1.4420987205882363
34.693302,123846.82156862743,-16.933915005960422,1.4420987205882363
34.693302,125893.8764705882,-11.392760342005545,1.4420987205882363
34.693302,127940.93137254904,-5.289226139701308,1.4420987205882363
34.693302,129987.9862745098,-24.040990749214224,1.4420987205882363
34.693302,132035.04117647058,-16.797728974940117,1.4420987205882363
34.693302,134082.09607843135,-19.38050483253061,1.4420987205882363
34.693302,136129.15098039212,-19.78502382771139,1.4420987205882363
34.693302,138176.20588235295,-17.56240878055461,1.4420987205882363
34.693302,140223.26078431372,-18.14723030394847,1.4420987205882363
34.693302,142270.3156862745,-13.84315260730124,1.4420987205882363
34.693302,144317.37058823527,-5.961122683575177,1.4420987205882363
34.693302,146364.4254901961,-3.381820519888218,1.4420987205882363
34.693302,148411.48039215687,-19.69950692114177,1.4420987205882363
34.693302,150458.53529411764,-14.93738709834755,1.4420987205882363
34.693302,152505.5901960784,-18.971803731614337,1.4420987205882363
34.693302,154552.64509803918,-18.59120617680042,1.4420987205882363
34.693302,156599.7,-20.90085928117258,1.4420987205882363
34.693302,158646.75490196078,-17.3119243795082,1.4420987205882363
34.693302,160693.80980392155,-23.87982689517934,1.4420987205882363
34.693302,162740.86470588233,-32.897580023234255,1.4420987205882363
34.693302,164787.91960784316,-33.75198655749523,1.4420987205882363
34.693302,166834.97450980393,-19.36697388545816,1.4420987205882363
34.693302,168882.0294117647,-19.86880296129568,1.4420987205882363
34.693302,170929.08431372547,-20.710940531626036,1.4420987205882363
34.693302,172976.13921568624,-23.36416204751289,1.4420987205882363
34.693302,175023.19411764707,-24.39488758996935,1.4420987205882363
34.693302,177070.24901960784,-12.504229252847658,1.4420987205882363
34.693302,179117.3039215686,-17.214531941246296,1.4420987205882363
34.693302,181164.3588235294,-12.356728831818485,1.4420987205882363
34.693302,183211.41372549016,-7.607481249811028,1.4420987205882363
34.693302,185258.468627451,-30.786765239761777,1.4420987205882363
34.693302,187305.52352941176,-19.188704191780236,1.4420987205882363
34.693302,189352.57843137253,-16.72991296236102,1.4420987205882363
34.693302,191399.6333333333,-32.657869376572066,1.4420987205882363
34.693302,193446.68823529413,-27.461054724270205,1.4420987205882363
34.693302,195493.7431372549,-23.60528385999804,1.4420987205882363
34.693302,197540.79803921568,-29.690578835697817,1.4420987205882363
34.693302,199587.85294117645,-22.61652710411869,1.4420987205882363
34.693302,201634.9078431372,-23.254402835871986,1.4420987205882363
34.693302,203681.96274509805,-18.281721318518976,1.4420987205882363
34.693302,205729.0176470588,-31.72360549094947,1.4420987205882363
34.693302,207776.0725490196,-20.712838203040636,1.4420987205882363
34.693302,209823.12745098036,-24.44533858273823,1.4420987205882363
34.693302,211870.1823529412,-36.948231758434176,1.4420987205882363
34.693302,213917.23725490196,-21.168778779203265,1.4420987205882363
34.755115,93140.99803921569,-18.29297276527771,0.1985128676470599
34.755115,95188.05294117646,-23.73232821291399,0.1985128676470599
34.755115,97235.10784313724,-22.53757677295151,0.1985128676470599
34.755115,99282.162745098,-34.59159025423458,0.1985128676470599
34.755115,101329.21764705885,-18.046801864737457,0.1985128676470599
34.755115,103376.2725490196,-13.957168033089957,0.1985128676470599
34.755115,105423.32745098036,-14.489138976351148,0.1985128676470599
34.755115,107470.38235294116,-16.590706191583806,0.1985128676470599
34.755115,109517.43725490198,-15.985433463969889,0.1985128676470599
34.755115,111564.49215686276,-15.71443803714278,0.1985128676470599
34.755115,113611.54705882352,-16.40550448886977,0.1985128676470599
34.755115,115658.60196078428,-18.707758079344316,0.1985128676470599
34.755115,117705.65686274506,-23.06235564557531,0.1985128676470599
34.755115,119752.71176470588,-17.823333019727066,0.1985128676470599
34.755115,121799.76666666666,-20.382472825553364,0.1985128676470599
34.755115,123846.82156862743,-13.302709873237417,0.1985128676470599
34.755115,125893.8764705882,-11.404958045004372,0.1985128676470599
34.755115,127940.93137254904,-5.642247846243615,0.1985128676470599
34.755115,129987.9862745098,-20.285441993806067,0.1985128676470599
34.755115,132035.04117647058,-23.39723998778063,0.1985128676470599
34.755115,134082.09607843135,-21.63776351137811,0.1985128676470599
34.755115,136129.15098039212,-24.635536385072953,0.1985128676470599
34.755115,138176.20588235295,-23.91307014960816,0.1985128676470599
34.755115,140223.26078431372,-15.933570560732637,0.1985128676470599
34.755115,142270.3156862745,-28.291736375753132,0.1985128676470599
34.755115,144317.37058823527,-10.565955953969985,0.1985128676470599
34.755115,146364.4254901961,-28.642332363755393,0.1985128676470599
34.755115,148411.48039215687,-14.658824927139817,0.1985128676470599
34.755115,150458.53529411764,-13.212442634623056,0.1985128676470599
34.755115,152505.5901960784,-21.336656171898625,0.1985128676470599
